"","1","2","3","4","5","6","7","8","9","10"
"1139",0.0983606557377049,0.0983606557377049,0.0819672131147541,0.163934426229508,0.0819672131147541,0.114754098360656,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.114754098360656
"1694",0.0769230769230769,0.107692307692308,0.123076923076923,0.123076923076923,0.0923076923076923,0.123076923076923,0.0769230769230769,0.0769230769230769,0.107692307692308,0.0923076923076923
"2975",0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.115384615384615,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.115384615384615,0.0961538461538462
"923",0.114285714285714,0.0714285714285714,0.0857142857142857,0.0857142857142857,0.0714285714285714,0.157142857142857,0.0857142857142857,0.114285714285714,0.114285714285714,0.1
"5836",0.0985915492957746,0.112676056338028,0.112676056338028,0.0704225352112676,0.126760563380282,0.0704225352112676,0.0704225352112676,0.140845070422535,0.0985915492957746,0.0985915492957746
"13614",0.0961538461538462,0.0961538461538462,0.115384615384615,0.115384615384615,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462
"3757",0.120689655172414,0.0862068965517241,0.103448275862069,0.103448275862069,0.120689655172414,0.0862068965517241,0.0862068965517241,0.103448275862069,0.103448275862069,0.0862068965517241
"6377",0.12280701754386,0.12280701754386,0.087719298245614,0.087719298245614,0.105263157894737,0.087719298245614,0.087719298245614,0.105263157894737,0.105263157894737,0.087719298245614
"12900",0.0961538461538462,0.115384615384615,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.115384615384615,0.0961538461538462
"11530",0.0980392156862745,0.0980392156862745,0.0980392156862745,0.117647058823529,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745
"918",0.134328358208955,0.119402985074627,0.0746268656716418,0.104477611940299,0.134328358208955,0.0895522388059701,0.104477611940299,0.0895522388059701,0.0746268656716418,0.0746268656716418
"11946",0.0925925925925926,0.0925925925925926,0.111111111111111,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.111111111111111,0.0925925925925926,0.0925925925925926,0.12962962962963
"10266",0.121212121212121,0.106060606060606,0.136363636363636,0.0909090909090909,0.0757575757575758,0.0757575757575758,0.136363636363636,0.106060606060606,0.0757575757575758,0.0757575757575758
"5712",0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.115384615384615,0.0961538461538462,0.0961538461538462,0.115384615384615,0.0961538461538462,0.0961538461538462
"11148",0.109090909090909,0.109090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909
"3626",0.109090909090909,0.109090909090909,0.145454545454545,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
"6486",0.0980392156862745,0.0980392156862745,0.0980392156862745,0.117647058823529,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745
"6987",0.125,0.0892857142857143,0.0892857142857143,0.107142857142857,0.125,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.107142857142857
"5823",0.0983606557377049,0.0655737704918033,0.155737704918033,0.0737704918032787,0.0573770491803279,0.0901639344262295,0.040983606557377,0.286885245901639,0.0491803278688525,0.0819672131147541
"9358",0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.117647058823529,0.0980392156862745
"3906",0.0847457627118644,0.0847457627118644,0.101694915254237,0.101694915254237,0.101694915254237,0.0847457627118644,0.0847457627118644,0.135593220338983,0.135593220338983,0.0847457627118644
"1053",0.114754098360656,0.0819672131147541,0.0983606557377049,0.114754098360656,0.0819672131147541,0.0983606557377049,0.0983606557377049,0.0819672131147541,0.131147540983607,0.0983606557377049
"4832",0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.0980392156862745,0.117647058823529,0.0980392156862745
"5461",0.104477611940299,0.104477611940299,0.104477611940299,0.104477611940299,0.0746268656716418,0.0895522388059701,0.134328358208955,0.0895522388059701,0.119402985074627,0.0746268656716418
"12968",0.0847457627118644,0.101694915254237,0.0847457627118644,0.11864406779661,0.101694915254237,0.135593220338983,0.101694915254237,0.0847457627118644,0.101694915254237,0.0847457627118644
"11287",0.140350877192982,0.087719298245614,0.087719298245614,0.105263157894737,0.087719298245614,0.105263157894737,0.12280701754386,0.087719298245614,0.087719298245614,0.087719298245614
"11797",0.1,0.0833333333333333,0.15,0.0833333333333333,0.116666666666667,0.1,0.1,0.0833333333333333,0.1,0.0833333333333333
"9313",0.132075471698113,0.0943396226415094,0.0943396226415094,0.113207547169811,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094
"9164",0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.107142857142857,0.107142857142857,0.0892857142857143,0.142857142857143,0.0892857142857143,0.107142857142857
"10135",0.078125,0.09375,0.109375,0.125,0.109375,0.125,0.09375,0.078125,0.078125,0.109375
"8691",0.105263157894737,0.087719298245614,0.105263157894737,0.12280701754386,0.087719298245614,0.105263157894737,0.105263157894737,0.087719298245614,0.105263157894737,0.087719298245614
"5226",0.0925925925925926,0.111111111111111,0.0925925925925926,0.111111111111111,0.0925925925925926,0.0925925925925926,0.111111111111111,0.111111111111111,0.0925925925925926,0.0925925925925926
"1986",0.0819672131147541,0.0983606557377049,0.0819672131147541,0.0983606557377049,0.0983606557377049,0.0819672131147541,0.0819672131147541,0.19672131147541,0.0819672131147541,0.0983606557377049
"7443",0.101449275362319,0.0869565217391304,0.101449275362319,0.101449275362319,0.115942028985507,0.0869565217391304,0.072463768115942,0.130434782608696,0.0869565217391304,0.115942028985507
"11564",0.103448275862069,0.103448275862069,0.0862068965517241,0.103448275862069,0.103448275862069,0.103448275862069,0.103448275862069,0.0862068965517241,0.0862068965517241,0.120689655172414
"4287",0.101694915254237,0.101694915254237,0.101694915254237,0.101694915254237,0.0847457627118644,0.0847457627118644,0.101694915254237,0.0847457627118644,0.135593220338983,0.101694915254237
"1664",0.111111111111111,0.111111111111111,0.0925925925925926,0.111111111111111,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.111111111111111,0.0925925925925926,0.0925925925925926
"4686",0.0847457627118644,0.0847457627118644,0.0847457627118644,0.101694915254237,0.11864406779661,0.0847457627118644,0.0847457627118644,0.135593220338983,0.101694915254237,0.11864406779661
"6276",0.12280701754386,0.105263157894737,0.105263157894737,0.087719298245614,0.105263157894737,0.087719298245614,0.087719298245614,0.087719298245614,0.105263157894737,0.105263157894737
"8360",0.109090909090909,0.109090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909
"11092",0.113207547169811,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.132075471698113,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094
"7047",0.0909090909090909,0.127272727272727,0.0909090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909
"4571",0.0892857142857143,0.0892857142857143,0.0892857142857143,0.107142857142857,0.0892857142857143,0.0892857142857143,0.125,0.107142857142857,0.0892857142857143,0.125
"6781",0.0961538461538462,0.115384615384615,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.115384615384615,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462
"1251",0.0847457627118644,0.0847457627118644,0.11864406779661,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.152542372881356,0.11864406779661,0.101694915254237
"9563",0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0983606557377049,0.131147540983607,0.0819672131147541,0.0819672131147541,0.131147540983607,0.0819672131147541,0.147540983606557
"466",0.0963855421686747,0.072289156626506,0.072289156626506,0.120481927710843,0.0843373493975904,0.132530120481928,0.0843373493975904,0.0963855421686747,0.072289156626506,0.168674698795181
"2368",0.0793650793650794,0.0952380952380952,0.142857142857143,0.111111111111111,0.0952380952380952,0.111111111111111,0.0952380952380952,0.0952380952380952,0.0793650793650794,0.0952380952380952
"13025",0.0925925925925926,0.0925925925925926,0.12962962962963,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.0925925925925926,0.12962962962963,0.0925925925925926,0.0925925925925926
"13956",0.126760563380282,0.126760563380282,0.0985915492957746,0.0704225352112676,0.0845070422535211,0.126760563380282,0.0845070422535211,0.0704225352112676,0.0704225352112676,0.140845070422535
"7448",0.101449275362319,0.0869565217391304,0.072463768115942,0.115942028985507,0.159420289855072,0.0869565217391304,0.072463768115942,0.0869565217391304,0.101449275362319,0.115942028985507
"7500",0.0945945945945946,0.121621621621622,0.0675675675675676,0.0945945945945946,0.0945945945945946,0.108108108108108,0.0945945945945946,0.0675675675675676,0.0945945945945946,0.162162162162162
"8241",0.0806451612903226,0.0967741935483871,0.0806451612903226,0.0967741935483871,0.112903225806452,0.0967741935483871,0.112903225806452,0.0967741935483871,0.0967741935483871,0.129032258064516
"2030",0.109375,0.078125,0.125,0.125,0.078125,0.09375,0.140625,0.078125,0.09375,0.078125
"13417",0.0909090909090909,0.109090909090909,0.109090909090909,0.127272727272727,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909
"11394",0.115384615384615,0.0961538461538462,0.115384615384615,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462,0.0961538461538462
