"","Bluetooth connectivity","Worth the Money","Bad Performance","Excellent Performance","Good Performance","Ergonomics","Product Durability","Clarity","Bass Quality","Regret Purchase","After-sales Service","Brands","Battery"
"5219",0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201
"4364",0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0950226244343891,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342
"7874",0.0557413600891862,0.084726867335563,0.0702341137123746,0.0557413600891862,0.0557413600891862,0.0702341137123746,0.0702341137123746,0.0702341137123746,0.0557413600891862,0.0992196209587514,0.084726867335563,0.0992196209587514,0.128205128205128
"8607",0.0674763832658569,0.0674763832658569,0.0674763832658569,0.0850202429149798,0.0674763832658569,0.0850202429149798,0.0674763832658569,0.0674763832658569,0.0674763832658569,0.0674763832658569,0.0850202429149798,0.137651821862348,0.0674763832658569
"10620",0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201
"3920",0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0950226244343891,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342
"1139",0.0958385876418663,0.0794451450189155,0.0630517023959647,0.0794451450189155,0.128625472887768,0.0630517023959647,0.0794451450189155,0.0630517023959647,0.0958385876418663,0.0630517023959647,0.0630517023959647,0.0630517023959647,0.0630517023959647
"1694",0.0899408284023669,0.0899408284023669,0.0745562130177515,0.0591715976331361,0.0591715976331361,0.0591715976331361,0.0899408284023669,0.0745562130177515,0.0591715976331361,0.0899408284023669,0.0591715976331361,0.0745562130177515,0.120710059171598
"2975",0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201
"923",0.0835164835164835,0.0692307692307692,0.126373626373626,0.140659340659341,0.0549450549450549,0.0692307692307692,0.0549450549450549,0.0692307692307692,0.0835164835164835,0.0549450549450549,0.0549450549450549,0.0692307692307692,0.0692307692307692
"5836",0.0541711809317443,0.0682556879739978,0.152762730227519,0.0541711809317443,0.0964247020585049,0.110509209100758,0.0682556879739978,0.0682556879739978,0.0541711809317443,0.0682556879739978,0.0682556879739978,0.0682556879739978,0.0682556879739978
"13614",0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201
"3757",0.0835543766578249,0.118037135278515,0.0835543766578249,0.0663129973474801,0.0835543766578249,0.0663129973474801,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0663129973474801
"6377",0.0674763832658569,0.0674763832658569,0.102564102564103,0.0850202429149798,0.0850202429149798,0.0850202429149798,0.0850202429149798,0.0674763832658569,0.0674763832658569,0.0674763832658569,0.0674763832658569,0.0674763832658569,0.0850202429149798
"12900",0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0931952662721894
"11530",0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0950226244343891,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342
"918",0.087256027554535,0.087256027554535,0.0574052812858783,0.0723306544202067,0.087256027554535,0.102181400688863,0.117106773823192,0.0723306544202067,0.0723306544202067,0.0574052812858783,0.0574052812858783,0.0723306544202067,0.0574052812858783
"11946",0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0897435897435898,0.0712250712250712,0.0897435897435898,0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0897435897435898,0.0712250712250712,0.0897435897435898,0.0712250712250712
"10266",0.0734265734265734,0.0885780885780886,0.0885780885780886,0.118881118881119,0.0582750582750583,0.0885780885780886,0.0582750582750583,0.0885780885780886,0.0734265734265734,0.0734265734265734,0.0734265734265734,0.0582750582750583,0.0582750582750583
"5712",0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0739644970414201,0.0931952662721894,0.0739644970414201,0.0739644970414201
"11148",0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.106293706293706,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0699300699300699
"3626",0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.0881118881118881,0.0699300699300699,0.106293706293706,0.0699300699300699,0.0699300699300699,0.0699300699300699
"6486",0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0950226244343891,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342
"6987",0.0865384615384616,0.0686813186813187,0.0865384615384616,0.0686813186813187,0.0686813186813187,0.0865384615384616,0.0865384615384616,0.0686813186813187,0.0686813186813187,0.0865384615384616,0.0686813186813187,0.0865384615384616,0.0686813186813187
"5823",0.0561160151324086,0.0397225725094578,0.261034047919294,0.0725094577553594,0.0561160151324086,0.0315258511979823,0.0479192938209332,0.0725094577553594,0.0479192938209332,0.0970996216897856,0.105296343001261,0.0561160151324086,0.0561160151324086
"9358",0.0754147812971342,0.0950226244343891,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342
"3906",0.0651890482398957,0.0651890482398957,0.0821382007822686,0.0821382007822686,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.116036505867014,0.0651890482398957,0.132985658409387
"1053",0.0958385876418663,0.0958385876418663,0.0630517023959647,0.0630517023959647,0.0958385876418663,0.0630517023959647,0.0630517023959647,0.0630517023959647,0.0958385876418663,0.0630517023959647,0.0794451450189155,0.0794451450189155,0.0794451450189155
"4832",0.0754147812971342,0.0950226244343891,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342,0.0754147812971342
"5461",0.0723306544202067,0.0574052812858783,0.0723306544202067,0.13203214695752,0.087256027554535,0.0723306544202067,0.087256027554535,0.087256027554535,0.0574052812858783,0.0574052812858783,0.0723306544202067,0.0574052812858783,0.087256027554535
"12968",0.0651890482398957,0.0821382007822686,0.0651890482398957,0.0821382007822686,0.0821382007822686,0.0651890482398957,0.0821382007822686,0.0651890482398957,0.0990873533246415,0.0651890482398957,0.0651890482398957,0.0651890482398957,0.116036505867014
"11287",0.0674763832658569,0.0674763832658569,0.102564102564103,0.0674763832658569,0.102564102564103,0.0674763832658569,0.0674763832658569,0.102564102564103,0.0850202429149798,0.0674763832658569,0.0674763832658569,0.0674763832658569,0.0674763832658569
"11797",0.0641025641025641,0.0974358974358975,0.0641025641025641,0.0641025641025641,0.0641025641025641,0.114102564102564,0.0641025641025641,0.0641025641025641,0.0807692307692308,0.114102564102564,0.0807692307692308,0.0641025641025641,0.0641025641025641
"9313",0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0914368650217707,0.0914368650217707,0.0914368650217707,0.0725689404934688,0.0725689404934688,0.0725689404934688,0.0725689404934688
"9164",0.0686813186813187,0.0865384615384616,0.0686813186813187,0.0686813186813187,0.0686813186813187,0.0686813186813187,0.0686813186813187,0.0686813186813187,0.0686813186813187,0.0865384615384616,0.122252747252747,0.0686813186813187,0.0865384615384616
"10135",0.106971153846154,0.106971153846154,0.0600961538461538,0.0913461538461539,0.0600961538461538,0.0757211538461539,0.0600961538461538,0.122596153846154,0.0600961538461538,0.0757211538461539,0.0600961538461538,0.0600961538461538,0.0600961538461538
"8691",0.0674763832658569,0.0850202429149798,0.0674763832658569,0.0674763832658569,0.102564102564103,0.0674763832658569,0.0674763832658569,0.102564102564103,0.0850202429149798,0.0850202429149798,0.0674763832658569,0.0674763832658569,0.0674763832658569
"5226",0.0712250712250712,0.0712250712250712,0.0712250712250712,0.0897435897435898,0.0897435897435898,0.0712250712250712,0.0712250712250712,0.0897435897435898,0.0712250712250712,0.0712250712250712,0.0897435897435898,0.0712250712250712,0.0712250712250712
"1986",0.0630517023959647,0.0794451450189155,0.0794451450189155,0.0630517023959647,0.0630517023959647,0.0630517023959647,0.0630517023959647,0.0630517023959647,0.0630517023959647,0.0630517023959647,0.194199243379571,0.0630517023959647,0.0794451450189155
"7443",0.084726867335563,0.0702341137123746,0.084726867335563,0.0702341137123746,0.0702341137123746,0.0557413600891862,0.0557413600891862,0.0702341137123746,0.0702341137123746,0.0702341137123746,0.0702341137123746,0.142697881828317,0.084726867335563
"11564",0.0663129973474801,0.0663129973474801,0.0663129973474801,0.118037135278515,0.0663129973474801,0.0835543766578249,0.0835543766578249,0.0835543766578249,0.0835543766578249,0.0663129973474801,0.0663129973474801,0.0835543766578249,0.0663129973474801
